ID,x,y,type
1,-2339.98198,-27644.15044,1
2,-2175.778987,-27680.68191,1
3,-2294.359289,-27975.52365,1
4,-2715.666357,-28401.92576,1
5,-2692.571351,-28454.93126,1
6,-2187.366164,-28356.41815,1
7,-1608.001106,-28492.07071,1
8,-2430.16849,-28756.65135,1
9,-1630.400372,-28099.22599,1
10,-1682.581496,-28219.21658,1
11,-1678.733225,-28000.20941,1
13,-1886.344289,-28138.61067,1
14,-1757.4868,-27750.92553,1
15,-1840.638536,-27836.45442,1
16,-1939.765965,-27495.75337,1
17,-2280.477166,-27513.81592,1
18,-2122.776751,-28178.25452,1
19,-2017.450585,-28365.17224,1
20,-2240.440656,-28334.90716,1
21,-2365.382795,-28562.30933,1
22,-1903.194406,-28570.71783,1
23,-1763.800523,-28658.50646,1
24,-3026.794288,-28796.5325,1
25,-3345.375423,-28811.28655,1
26,-3253.434958,-28847.8708,1
27,-2903.132823,-28428.30334,1
29,-3474.052264,-28360.11814,1
32,-3315.744544,-28235.66228,1
33,-3322.282931,-28039.48797,1
34,-3396.539409,-27933.44476,1
35,-3330.550414,-27757.14511,1
36,-3515.964053,-27655.57276,1
37,-3782.576972,-27492.94001,1
38,-3353.951784,-27556.65555,1
40,-3681.1227,-27755.22107,1
41,-4176.04229,-27264.66396,1
43,-4138.768526,-27104.67412,1
46,-3044.181473,-28022.95022,1
48,-2918.260948,-27770.83207,1
49,-2807.258379,-27465.05797,1
50,-2865.127393,-27563.76554,1
51,-2496.696825,-27325.28179,1
52,-2661.324538,-26947.95286,1
53,-3072.045669,-26946.10552,1
54,-3064.418243,-27081.03461,1
55,-3256.061323,-27066.52711,1
56,-3296.518686,-26870.66917,1
58,-3753.937895,-27070.37314,1
59,-3606.704338,-27372.84538,1
60,-3344.159974,-27227.05015,1
61,-3124.13332,-27415.49379,1
63,-3772.471788,-27027.78356,1
64,-3952.152193,-27053.89368,1
111,-4486.645284,-26923.23691,2
178,-2391.516731,-28616.49706,2
178,-2053.447197,-28537.53524,2
220,-2293.103491,-27550.6949,2
220,-2388.646431,-27944.75027,2
